Energy (keV),Counts
-0.263283,0
-0.232254,0
-0.201224,0
-0.170195,0
-0.139165,0
-0.108136,0
-0.0771062,0
-0.0460766,0
-0.0150471,0
0.0159825,0
0.047012,0
0.0780415,0
0.109071,0
0.140101,0
0.17113,0
0.20216,0
0.233189,0
0.264219,0
0.295248,0
0.326278,0
0.357307,0
0.388337,0
0.419366,0
0.450396,0
0.481426,0
0.512455,0
0.543485,0
0.574514,0
0.605544,0
0.636573,0
0.667603,0
0.698632,0
0.729662,0
0.760691,0
0.791721,0
0.82275,0
0.85378,0
0.88481,0
0.915839,0
0.946869,0
0.977898,0
1.00893,0
1.03996,0
1.07099,0
1.10202,0
1.13305,0
1.16408,0
1.1951,0
1.22613,0
1.25716,0
1.28819,0
1.31922,18
1.35025,33
1.38128,38
1.41231,33
1.44334,23
1.47437,29
1.5054,31
1.53643,34
1.56746,32
1.59849,22
1.62952,26
1.66055,37
1.69158,38
1.72261,28
1.75364,20
1.78467,25
1.8157,27
1.84673,30
1.87775,38
1.90878,34
1.93981,24
1.97084,25
2.00187,20
2.0329,22
2.06393,25
2.09496,20
2.12599,37
2.15702,23
2.18805,28
2.21908,27
2.25011,17
2.28114,24
2.31217,20
2.3432,18
2.37423,15
2.40526,28
2.43629,18
2.46732,20
2.49835,27
2.52938,26
2.5604,21
2.59143,21
2.62246,19
2.65349,23
2.68452,20
2.71555,27
2.74658,18
2.77761,21
2.80864,17
2.83967,28
2.8707,26
2.90173,18
2.93276,16
2.96379,13
2.99482,22
3.02585,20
3.05688,10
3.08791,15
3.11894,25
3.14997,15
3.181,24
3.21203,16
3.24305,15
3.27408,25
3.30511,20
3.33614,8
3.36717,19
3.3982,18
3.42923,15
3.46026,19
3.49129,18
3.52232,21
3.55335,14
3.58438,17
3.61541,16
3.64644,16
3.67747,14
3.7085,14
3.73953,18
3.77056,19
3.80159,17
3.83262,15
3.86365,8
3.89467,16
3.9257,11
3.95673,6
3.98776,15
4.01879,11
4.04982,9
4.08085,16
4.11188,15
4.14291,14
4.17394,14
4.20497,18
4.236,17
4.26703,11
4.29806,17
4.32909,12
4.36012,12
4.39115,20
4.42218,18
4.45321,12
4.48424,18
4.51527,11
4.5463,12
4.57732,13
4.60835,11
4.63938,10
4.67041,17
4.70144,13
4.73247,8
4.7635,16
4.79453,14
4.82556,16
4.85659,5
4.88762,10
4.91865,10
4.94968,10
4.98071,4
5.01174,6
5.04277,9
5.0738,11
5.10483,13
5.13586,13
5.16689,11
5.19792,23
5.22895,18
5.25997,14
5.291,29
5.32203,16
5.35306,21
5.38409,11
5.41512,13
5.44615,12
5.47718,11
5.50821,7
5.53924,10
5.57027,12
5.6013,12
5.63233,15
5.66336,6
5.69439,8
5.72542,19
5.75645,17
5.78748,15
5.81851,11
5.84954,10
5.88057,16
5.9116,11
5.94262,23
5.97365,11
6.00468,17
6.03571,63
6.06674,142
6.09777,226
6.1288,430
6.15983,664
6.19086,852
6.22189,1026
6.25292,1026
6.28395,926
6.31498,766
6.34601,501
6.37704,322
6.40807,215
6.4391,135
6.47013,95
6.50116,84
6.53219,95
6.56322,66
6.59424,88
6.62527,96
6.6563,88
6.68733,94
6.71836,96
6.74939,98
6.78042,141
6.81145,150
6.84248,202
6.87351,223
6.90454,235
6.93557,186
6.9666,169
6.99763,128
7.02866,85
7.05969,52
7.09072,44
7.12175,44
7.15278,41
7.18381,70
7.21484,99
7.24587,137
7.27689,150
7.30792,169
7.33895,200
7.36998,181
7.40101,126
7.43204,82
7.46307,64
7.4941,54
7.52513,33
7.55616,22
7.58719,22
7.61822,17
7.64925,24
7.68028,25
7.71131,20
7.74234,30
7.77337,28
7.8044,27
7.83543,45
7.86646,58
7.89749,70
7.92852,54
7.95954,43
7.99057,42
8.0216,41
8.05263,36
8.08366,35
8.11469,37
8.14572,43
8.17675,33
8.20778,35
8.23881,24
8.26984,18
8.30087,22
8.3319,10
8.36293,10
8.39396,15
8.42499,13
8.45602,11
8.48705,14
8.51808,13
8.54911,9
8.58014,11
8.61117,4
8.64219,13
8.67322,9
8.70425,13
8.73528,7
8.76631,9
8.79734,14
8.82837,13
8.8594,6
8.89043,4
8.92146,12
8.95249,7
8.98352,2
9.01455,5
9.04558,5
9.07661,6
9.10764,2
9.13867,1
9.1697,2
9.20073,3
9.23176,2
9.26279,3
9.29381,5
9.32484,3
9.35587,3
9.3869,2
9.41793,4
9.44896,5
9.47999,2
9.51102,4
9.54205,2
9.57308,6
9.60411,2
9.63514,0
9.66617,4
9.6972,1
9.72823,3
9.75926,4
9.79029,2
9.82132,3
9.85235,2
9.88338,0
9.91441,2
9.94544,1
9.97646,3
10.0075,5
10.0385,2
10.0696,1
10.1006,4
10.1316,4
10.1626,3
10.1937,5
10.2247,3
10.2557,1
10.2868,2
10.3178,2
10.3488,2
10.3798,2
10.4109,3
10.4419,3
10.4729,0
10.504,2
10.535,6
10.566,1
10.5971,4
10.6281,2
10.6591,0
10.6901,3
10.7212,5
10.7522,1
10.7832,3
10.8143,1
10.8453,1
10.8763,5
10.9074,0
10.9384,1
10.9694,4
11.0004,1
11.0315,3
11.0625,2
11.0935,2
11.1246,1
11.1556,3
11.1866,2
11.2176,2
11.2487,1
11.2797,1
11.3107,3
11.3418,3
11.3728,2
11.4038,3
11.4349,3
11.4659,2
11.4969,0
11.5279,1
11.559,3
11.59,3
11.621,3
11.6521,2
11.6831,7
11.7141,2
11.7451,6
11.7762,3
11.8072,0
11.8382,1
11.8693,5
11.9003,4
11.9313,3
11.9624,7
11.9934,3
12.0244,3
12.0554,3
12.0865,0
12.1175,5
12.1485,0
12.1796,2
12.2106,7
12.2416,7
12.2727,6
12.3037,2
12.3347,5
12.3657,3
12.3968,3
12.4278,2
12.4588,2
12.4899,3
12.5209,3
12.5519,2
12.5829,2
12.614,1
12.645,3
12.676,4
12.7071,2
12.7381,3
12.7691,1
12.8002,3
12.8312,3
12.8622,4
12.8932,5
12.9243,3
12.9553,5
12.9863,1
13.0174,5
13.0484,3
13.0794,4
13.1104,4
13.1415,4
13.1725,4
13.2035,3
13.2346,6
13.2656,4
13.2966,5
13.3277,6
13.3587,4
13.3897,4
13.4207,3
13.4518,5
13.4828,5
13.5138,4
13.5449,8
13.5759,3
13.6069,5
13.638,2
13.669,4
13.7,4
13.731,3
13.7621,3
13.7931,7
13.8241,6
13.8552,3
13.8862,7
13.9172,7
13.9482,6
13.9793,2
14.0103,8
14.0413,5
14.0724,6
14.1034,5
14.1344,6
14.1655,7
14.1965,4
14.2275,8
14.2585,6
14.2896,6
14.3206,3
14.3516,5
14.3827,3
14.4137,7
14.4447,8
14.4757,2
14.5068,10
14.5378,9
14.5688,8
14.5999,5
14.6309,12
14.6619,8
14.693,4
14.724,10
14.755,4
14.786,6
14.8171,6
14.8481,7
14.8791,15
14.9102,7
14.9412,4
14.9722,12
15.0033,11
15.0343,12
15.0653,9
15.0963,8
15.1274,5
15.1584,10
15.1894,14
15.2205,5
15.2515,7
15.2825,12
15.3135,7
15.3446,14
15.3756,6
15.4066,9
15.4377,14
15.4687,8
15.4997,6
15.5308,11
15.5618,12
15.5928,11
15.6238,10
15.6549,12
15.6859,12
15.7169,11
15.748,11
15.779,9
15.81,11
15.841,12
15.8721,9
15.9031,16
15.9341,8
15.9652,11
15.9962,11
16.0272,6
16.0583,12
16.0893,12
16.1203,11
16.1513,7
16.1824,13
16.2134,8
16.2444,11
16.2755,10
16.3065,7
16.3375,9
16.3685,11
16.3996,6
16.4306,10
16.4616,14
16.4927,17
16.5237,13
16.5547,10
16.5858,13
16.6168,13
16.6478,18
16.6788,14
16.7099,11
16.7409,19
16.7719,12
16.803,15
16.834,21
16.865,18
16.8961,16
16.9271,18
16.9581,13
16.9891,23
17.0202,14
17.0512,14
17.0822,22
17.1133,10
